renewable_energy_share,total_energy_consumption,co2_ch4_n2o_scope_1_3,carbon_intensity,board_diversity,governance_compliance_score,corruption_cases,turnover_rate,injury_frequency_rate,green_financing
37.454011884736246,66.57267597786499,43.01245986566854,22.572592804048284,61.05061740418192,34.24364615028998,26.026893978815583,7.093106837100926,-1.0272755838706358,27.504807192841
95.07143064099162,35.54931442738768,23.20686794456887,13.461218071912393,22.476023765881948,10.502495789611922,44.71567088442659,42.95454487186029,15.37060945995722,-2.947193290793037
73.1993941811405,46.81814952543213,28.928740244264233,22.393924465388782,61.30520258694786,24.8952724025332,43.50600704363262,74.16973763796781,22.099624182875537,7.13447800800747
59.86584841970366,43.237297234145494,31.75367632801563,26.07989140804707,62.82794590652136,41.197877100324256,38.20857091729789,26.93647775485489,12.036833876710276,25.65044925470865
15.601864044243651,78.25878790481018,44.25731663920045,41.94736939888224,73.41069808811267,55.148028142892,21.775916062278345,56.234788893532006,22.738071181454853,30.738481657268153
15.599452033620265,73.50652663935915,48.57846876374961,38.78344799019406,62.087418755680126,40.28363722088952,30.066587425639785,27.865034052281835,6.4789072873614,20.988019094380245
5.8083612168199465,75.24943369535902,36.98958579208332,25.608767075026933,96.9242130458038,57.139908044811136,32.486711120602095,38.86130608930408,23.38793202992842,14.93899248660238
86.61761457749351,37.4081350479645,17.920141864088368,8.09192054014855,19.728830871706847,11.563566544643031,49.892838135674474,90.64463184738247,39.29242129038823,6.779919960537934
60.11150117432088,41.06307324834796,15.602636974349695,8.10039661844969,95.10906795670763,54.9605114339587,19.433321436744556,85.58396254949196,37.69279403984107,37.08586925181163
70.80725777960456,46.63963516760108,26.609554597211684,15.663174103262644,53.83394903500162,32.75057734033577,30.5297940754015,51.601754341762984,18.20400210650937,11.050417709169942
2.0584494295802447,73.82391774429952,44.063044560247995,34.1202993347424,67.1956140494912,40.13232795932855,34.71658332927207,23.810562747207875,9.517574708751534,33.21553443306723
96.99098521619943,24.741155962682612,15.415201038742167,12.075627955048668,9.946159745218985,1.7624536951399188,44.063587502201386,19.318391273302282,10.864219860258025,-7.845692511570135
83.24426408004217,30.76607202888946,18.76905998176935,6.52009413302765,38.0575941378107,31.248998427425576,39.81413454298148,95.40873530357142,38.927405956929746,15.689978130896526
21.233911067827616,74.94648634103582,40.33012515056286,26.051580259941833,76.93791464631727,38.7269776092415,32.308011014134294,20.271659651068752,16.11816778427686,34.71676613838688
18.182496720710063,67.76243467118103,39.70625658064253,32.18211737370687,70.69110150989903,46.006318621910644,29.58544450918004,80.81683109125392,31.30779458941781,16.189160183959228
18.34045098534338,78.4984130569108,39.61181449111774,29.48658191865271,4.013938816541018,1.9023751533369517,47.76514340593126,36.89702095355373,12.23600572024094,11.491042410439215
30.42422429595377,62.10888053676163,44.08147319771823,33.70025431846661,54.65942634972446,42.2998148851634,25.700968536186252,98.56598475582383,42.597658284686666,40.89643106479979
52.475643163223786,45.22538863042337,25.617102813764014,19.846580519921122,8.827819296840945,7.001014574345674,53.80945686716876,36.81557403627879,8.402993253078957,5.210947976414339
43.194501864211574,52.820126868150915,29.24764552567209,28.605505541014757,99.58564291781623,57.951858064773496,19.790384564845876,35.151662491072614,18.682149657969607,23.70575915855368
29.122914019804192,71.6176010901326,50.91526229629997,36.820898926531825,89.72965885332947,52.599259319825194,21.645694957218094,63.74636288776231,18.99498615214501,18.57224163041236
61.18528947223795,48.62786437419769,22.96548595677247,14.145726180387236,2.1080660428536957,1.4643730983110232,48.86712811144544,96.15168066268193,41.65359559536552,13.778213582628764
13.949386065204184,70.2838704849449,36.54238672080709,21.000895498897158,85.86495789026309,45.805021259175845,28.062600034001793,97.6209605796433,35.80701646099401,35.66945262298441
29.214464853521815,66.19285870250303,34.23461359715899,25.21227680905985,91.94296005584076,51.33142840791489,19.18016016244531,70.72061464669852,30.671166593596375,40.1588054326442
